Right,Wrong
The Incompressible Non-Relativistic Navier-Stokes Equation From Gravity,Reviewing Boundary Fluctuations at $\Lambda_{QCD}$: Orientifold Planes at the Intermediate Scale
Can a Pseudo-symmetry Solve the Cosmological Constant Problem?,"A (P,q) Brane Wrapping a dS_m"
The Tensor Reduction and Master Integrals of the Two-loop Massless Crossed Box,Electrons
The Octet Structure Function and Radiative Quarkonia Decay,Orientifold Planes in Our Solar System and Models of Dions
Reconciling Large CP-violating Phases With Bounds on the Electric Dipole Moments in the MSSM,A Hypersurface Defect After Reheating and a Certain Notion of Harmonic Analysis
"Precision Electroweak Measurements and ""New Physics""",A Measurement of Representation Theory in a Toda TQFT Compactified on 3 Copies of R^n Using Electrons
Selfdual Backgrounds in N=2 Five-dimensional Chern-Simons Supergravity,The First-order B-model
BPS Spectrum of the Five-Brane and Black Hole Entropy,Towards Equivariant Structure in Heterotic Strings
Deep Inelastic Beauty Production at HERA in the Kt-factorization Approach,Twisted TQFTs on Moduli Spaces of Moduli Spaces of Linear Dilaton Backgrounds With Abelian Fundamental Group
Dynamics in a Noncommutative Phase Space,The Solution to the Flavor Problem From Melonic Diagrams
Chiral and Heavy Quark Symmetry Violation in B Decays,Reviewing Positrons: A Warped Approach
Metastable String Vacua,A Surface Defect in the Early Universe
Diagnostics of Quark-gluon Plasma in Ultrarelativistic Heavy Ion Collisions by Hard QCD-processes,C_8 Singularities Reconsidered
"B_{d,s}->rho, Omega, K*, Phi Decay Form Factors From Light-Cone Sum Rules Revisited",Positrons
Dark Matter From Affleck-Dine Baryogenesis,"(P,q) Instantons and Orientifold Planes at the Intermediate Scale"
The $Delta I=1/2$ Rule and Other Matrix Elements,A Measurement of Sheaf Cohomology (Involving Vanishing Automorphic Forms) via an Analytical Probe of Semidefinite Programming on RS1 Backgrounds
Adiabatic and Entropy Perturbations Propagation in a Bouncing Universe,Classifying Technicolor: A Higher-order Technique
Pseudoscalar Neutral Mesons in Hot and Dense Matter,On Complexity in the Early Universe
Quark and Lepton Mass Matrices in the SO(10) Grand Unified Theory With Generation Flipping,Towards the Naturalness Problem
Dark Matter Stabilization Symmetries and Long-Lived Particles at the Large Hadron Collider,QCD Approaches to the Lithium Problem
Unparticle Physics in Top Pair Signals at the LHC and ILC,The Compactification of Heterotic Strings
Phase-space Analysis of Horava-Lifshitz Cosmology,Entanglement Entropy During Inflation
Production of Neutral and Charged Higgs Bosons of the MSSM at the Future E-gamma Colliders,Towards a Certain Notion of Causality
"Understanding the Branching Ratios of Chi_{c1} Ophiphi, Ømegaømega, Ømegaphi Observed at BES-III",Black Branes at the Planck Scale
Nonperturbative and Perturbative Aspects of Photo- and Electroproduction of Vector Mesons,Minimal Approaches to the Mu/B_mu Problem
One Loop Effective Potential in Heterotic M-theory,Models of Magnons Reexamined
"Brane Q-ball, Branonium and Brane Q-ball Inflation",Conformal Blocks in Type IIA Strings
The Cosmological Constant in Calabi-Yau 3-fold Compactifications of the Horava-Witten Theory,Reconstructing Adjoint Low-energy Effective Theories on Moduli Spaces of ALF Enriques Surfaces
Excited TBA Equations II: Massless Flow From Tricritical to Critical Ising Model,The Hierarchy Problem Predicts an Anomaly
Jet Cross Sections in Gamma^*-gamma Scattering at E+e- Colliders in NLO QCD,Bounding Observables: Subleading Matix Elements
Asymptotic Freedom and Infrared Behavior in the Type 0 String Approach to Gauge Theory,A Black Brane Probe Reexamined
The Polarised Gluon Density Delta G(x) From Di-jet Events at High Energy Ep-colliders,Bounding Chaos in Type IIA Living on a K3: A Transverse Method
Exotic Tetraquark Ud Bar[s] Bar[s] of J^P=0^+ in the QCD Sum Rule,Exploring Spontaneously-broken Rotation Symmetric Central Charges: The AdS_m/SYK Model Correspondence
"Pseudoscalar Meson Decay Constants and Couplings, the Witten-Veneziano Formula Beyond Large N_c, and the Topological Susceptibility",Reviewing Prompt Particles
Topologically Nontrivial Field Configurations in Noncommutative Geometry,Comments on the Seiberg-dual of GR With Equivariant Superpotential Deformed by Irrelevant D-terms
Reparametrization Invariance of B Decay Amplitudes and Implications for New Physics Searches in B Decays,Magnetic-duality in Topological Strings Deformed by BPS Operators Reconsidered
Solar Models and Solar Neutrino Oscillations,A Certain Notion of Chaos and Topologically Twisted Einstein Gravity Surrounded by Rational Double-point Singularities
Stabilization of 2D Quantum Gravity by Branching Interactions,Generalizing Seiberg-duality on \Z_m Orbifolds of \Z_n Quotients of ALF Spaces of \Z Holonomy: The Formulation of a Model for Cosmic Rays
A Note on `Hot Spot' Hunting in Deep-Inelastic Scattering,The Effective Potential
Sparticle and Higgs Masses Within Minimal String Unification,Equations of Topological String Theory Deformed by Higher-spin Operators
Deep Electroproduction of Photons and Mesons on the Deuteron,On Discrete Path Integrals
One-Loop Corrections to the S and T Parameters in a Three Site Higgsless Model,"Clebsch-Gordon Decomposition in Twisted TQFTs, a Check of a Probe of Nontrivial Dimensionality, and Sheaf Cohomology"
Numerical Knot Invariants of Finite Type From Chern-Simons Perturbation Theory,Anyons Discovered via Metrics
Bootstrapping Multi-Parton Loop Amplitudes in QCD,Firewalls
Superconductors With Topological Order,Nontrivial Gross Points
Electric Dipole Moments From Flavoured CP Violation in SUSY,From Firewalls at the Intermediate Scale to QCD With Equivariant Superpotential
General Relativity With a Topological Phase: An Action Principle,On Instanton Liquids to All Orders
Propagation of Partially Coherent Photons in an Ultra-Intense Radiation Gas,Vanishing Symplectic Quotients
A Supersymmetric Model for Graphene,Random Tensors in Topological Strings on Moduli Spaces of Moduli Spaces of M Copies of CY_1 Fibered Over a Line Bundle Over T^n
SUSY Soft Breaking Terms From String Scenarios,Harmonic Analysis Extremizes Holographic-duality on dS_n
Universal Nonperturbative Effects in Event Shapes From Soft-Collinear Effective Theory,Unbroken Superconformal Symmetric Semidefinite Programming
Neutrinos From WIMP Annihilations Obtained Using a Full Three-Flavor Monte Carlo Approach,A Test of Double Inflation
(Supersymmetric) Kac-Moody Gauge Fields in 3+1 Dimensions,"Examining Kk Gravitons: (P,q) Branes"
Sum Rules in the Heavy Quark Limit of QCD,Bounding an Orientifold Plane at Future E+e- Colliders: A Quantum Gravitational Formalism
Testing the Realistic Seesaw Model With Two Heavy Majorana Neutrinos at the CERN Large Hadron Collider,Models of Leptons
Gauge and Einstein Gravity From Non-Abelian Gauge Models on Noncommutative Spaces,Models of Dark Matter in NS5 Branes Wrapped on a Hyperbolic N-manifold
"Gaudin Model, Bethe Ansatz and Critical Level",WIMPs Are Quantum Gravitational
Why More Hadronlike Photons Produce Less Particles on Nuclear Targets,A Prediction of a Holomorphic Instanton at the Weak Scale
Four Leptons Production in $E^-$ $E^+$ Collisions From 3-3-1 Model,Holomorphic Instantons and Charginos
Muon Capture by a Proton in Heavy Baryon Chiral Perturbation Theory,On the Linear Boundary Formulation of Type I Strings
Remarks on the Dynamical Mass Generation in Confining Yang-Mills Theories,Toda CFTs on CY_m X R^n
Light Hadrons in 2+1 Flavor Lattice QCD,Holomorphic Branes to All Orders and Non-Landau-Ginzburg Hierarchies in Induced-gravity Inflation
Hadronic Atoms in QCD,Einstein Gravity Deformed by Wilson Lines and Fractional D6 Instantons in Our Solar System
The Structure of Radiatively Induced Lorentz and CPT Violation in QED at Finite Temperature,Towards the U(1) Problem
Brane Configurations and 4D Field Theory Dualities,Some Little-known Examples of Anomaly Constraints
CP-Violation in the Production of Tau-Leptons at TESLA With Beam Polarization,Boundary-duality in Chiral Einstein Gravity Living on the NUT of R^9 X AdS_n
Generalized Dirac-Pauli Equation and Neutrino Quantum States in Matter,A Resolution of the LHC Inverse Problem
Theory and Phenomenology of Exotic Isosinglet Quarks and Squarks,Neutralinos in Harmonic Analysis on P^n
The Conformal Points of the Generalized Thirring Model,Anisotropic Inflationary Models in the Mu Problem
Final State Rescattering as a Contribution to $B O Ho Gamma$,Complementarity Catastrophe
Hyper-Kahler Sigma Models on (Co)tangent Bundles With SO(n) Isometry,The Confinement Problem
"Spinon Bases, Yangian Symmetry and Fermionic Representations of Virasoro Characters in Conformal Field Theory",Clever Approaches to the Little Hierarchy Problem
Large Neutrino Mixing From Renormalization Group Evolution,Extremal QFTs in the Presence of a Noncommutative Instanton vs Spinning Anomaly Constraints
Two-gluon Coupling and Collider Phenomenology of Color-octet Technirho Mesons,Excitations in an Adjoint TQFT in S-dualities on M Copies of CY_m X P^n X CY_m X CY_m X R^n X AdS_m
"Higher-Spin Gauge Theories in Four, Three and Two Dimensions","A Prediction of Unparticle Physics on ALE Fibrations of H^m(P^n,\mathbb{H}) Holonomy Using Nonvanishing Metrics and a Computation of a Solution of Unparticle Physics With Nonvanishing Superpotential Using a Certain Notion of Representation Theory From a Check of an Anthropic Approach to the Strong CP Problem"
TeV Physics From the Top Down,Evaluating Canonical Singularities: Nahm's Equations on S^7
The N-Tachyon Assisted Inflation,Type-1 Factors in F-Theory Deformed by Weight-shifting F-terms in Deformed Matrix Models on Sp(1) Orbifolds of Moduli Spaces of Symplectic Riemann Surfaces
A Note on Gauge Principle and Spontaneous Symmetry Breaking in Classical Particle Mechanics,Bubbles After Reheating in Type-1 Factors on E_6 Bundles Over T^6
M-Theory Brane as Giant Graviton and the Fractional Quantum Hall Effect,Braneworld Chaotic Inflation and Type I Strings on Dih_8 Quotients of Moduli Spaces of E_6 Orbifolds of Ricci-flat Riemann Surfaces Fibered Over AdS_9
Domain Wall Problem of Axion and Isocurvature Fluctuations in Chaotic Inflation Models,An Anomaly in M-dimensional QFTs on R^6
Bremsstrahlung From a Microscopic Model of Relativistic Heavy Ion Collisions,The U-dual of Topological Topological Liouville Theories Surrounded by Black Branes
Sudakov Expansions and Top Quark Physics at LHC,Duality
Perturbative and Non-Perturbative Quarks and Gluons,Progress in Clebsch-Gordon Decomposition
Majorana Neutrino Masses and Neutrino Oscillations,"Quintessence to All Orders, Positron Collisions in Extremal CFTs, and the Hierarchy Problem"
Two Dimensional Noncommutativity and Gravitational Quantum Well,Progress in Generalizing Twisted Matrix Models on Moduli Spaces of Symmetric Spaces of Sp(m) Holonomy
Leptonic Charged Higgs Decays in the Zee Model,A Stack of Canonical Co-isotropic Branes Wrapping a S^8
$VPgamma$ Radiative Decay of Resonances Dynamically Generated From the Vector Meson-vector Meson Interaction,Evaluating Quantum Dynamics
The Large-N Behavior of the Holographic Models of QCD,Abelian Duality
Prospects for Scalar Leptoquark Discovery at the LHC,Towards Understanding Chiral QFTs Compactified on CY_6
Instantons in the Saturation Environment,Models of Von-Neumann Entropy Are Planar
Fermion Masses and Neutrino Oscillations in SO(10) X SU(2)_F,The Minimal Solution of String Theory Using Spinning Correlators of Light-ray Operators
$2gamma$ and $3gamma$ Annihilation as Calibration Processes for High Energy $E^+ E^-$ Colliders,Disturbing Implications of Hawking Radiation
Theoretical Model of the Phi Meson Photoproduction Amplitudes,A Line Defect Revisited
Experimental Limits on Complete Positivity From the K-K System,"Bosonic Strings, a Certain Notion of Anomaly Matching, and Integrability"
Physics Observables for Color Transparency,The Extension of Possible Models via Relativistic Neutrinos
Core Structure of Global Vortices in Brane World Models,The N=1-dual of Models of WIMPs and Nonperturbative Parameters
Progress in the Theory of the Electroweak Phase Transition,The Equivalence Principle
Localization of Scalar Fluctuations in a Dilatonic Brane-World Scenario,Line Defects During Inflation
Instanton Solutions Mediating Tunneling Between the Degenerate Vacua in Curved Space,Solving Geometric Transitions: Abelian Quasimodular Forms
$B$-Meson Distribution Amplitude From the $B O Pi$ Form Factor,Tensor Networks at $\Lambda_{QCD}$ as Examples of Scalar Effects in F-Theory on Atiyah-Hitchen Manifolds
New Physics Effects in CP-Violating B Decays,The Analytic Continuation of Sheaf Cohomology in String Theories on CY_8 Reconsidered
(Constrained) Quantization Without Tears,Analyzing Large Logarithms in Topological String Theory Deformed by Surface Operators: The Lattice Formulation of N=n Supergravity With Singlet 1-forms Far From a Noncommutative Brane Black Hole
Thermodynamic Constraint on the Primordial Black Hole Formation in the Radiation Dominated Epoch,Donaldson-Witten Invariants in Type IIB Supported on dS_m
